preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
2,1,1,1,4,5,1,2,Jana,George,1,62,1,01/06/2017,2,Quemby,17
1,1,2,4,5,5,4,3,Hector,Mccoy,1,42,1,08/14/2016,1,Victor,13
1,1,1,4,5,3,3,2,Darius,Gilmore,1,68,1,03/05/2017,1,Hamilton,9
3,3,1,4,2,3,1,1,Raphael,Harvey,0,10,2,07/19/2016,2,Lee,4
1,3,2,2,4,4,2,3,Cairo,Maynard,1,13,1,04/29/2016,1,Serena,10
2,1,2,4,4,3,2,2,Patricia,Cohen,0,11,2,12/25/2016,1,Whilemina,13
1,3,1,4,5,3,5,1,Kelly,Stevens,1,24,1,02/20/2016,2,Kylie,18
3,3,2,2,5,4,4,2,Axel,Ortega,0,59,2,08/08/2017,1,Candace,13
1,2,3,1,4,3,1,4,Kyla,Stokes,0,23,1,04/12/2016,1,Quon,2
3,3,2,3,2,1,1,2,Chiquita,Davidson,0,40,2,11/29/2015,2,Vera,1
1,3,1,2,1,4,2,3,Iola,Gates,0,66,2,11/04/2015,1,Kermit,7
2,1,1,5,4,1,4,3,Darius,Forbes,0,75,1,05/06/2016,1,Hilary,5
2,3,3,3,3,2,4,4,Lester,Craft,1,52,1,10/05/2016,2,Sandra,17
2,1,3,4,3,3,1,2,Kai,Fowler,1,7,1,06/30/2017,2,Magee,7
3,3,1,5,5,4,2,5,Emma,Hooper,0,26,1,06/19/2017,1,Kibo,17
1,1,1,2,1,1,2,5,Raven,Hart,0,32,2,11/30/2016,1,Alfreda,5
2,3,2,3,2,3,1,2,Blossom,Newman,0,61,1,07/13/2016,1,Beatrice,11
3,3,2,4,1,4,3,5,May,Holmes,0,54,1,07/04/2017,1,Athena,3
2,3,3,5,4,3,3,2,Zephr,Rosa,0,20,1,03/26/2017,2,Zephania,15
1,2,1,3,3,1,3,4,George,Walters,0,10,2,11/16/2016,1,Blaze,16
1,2,1,1,5,2,1,3,Noah,Stout,1,90,2,02/20/2016,2,Emerald,7
1,2,3,1,2,5,4,4,James,Gentry,1,20,1,06/07/2016,1,Anika,8
3,2,3,1,4,2,1,4,Clayton,Patterson,1,4,2,02/19/2017,1,Kirsten,12
1,1,1,2,2,3,2,2,Adele,Jefferson,0,3,2,04/14/2017,1,Nicole,11
1,2,3,1,4,4,5,1,Timon,Dotson,0,74,2,08/07/2017,2,Boris,1
1,3,2,4,4,1,4,5,Dora,Oneill,1,23,1,11/11/2016,2,Kasimir,16
1,2,1,5,2,5,1,4,Jillian,Guzman,0,17,1,10/08/2015,1,Jin,12
3,3,2,1,4,4,4,5,Hakeem,Stevens,0,12,1,09/25/2015,1,Francis,14
1,2,2,1,3,5,3,2,Ivana,Hart,0,33,1,03/28/2017,2,Gemma,16
2,2,2,2,3,4,1,4,Gage,Erickson,0,59,2,09/30/2015,2,Hedy,2
1,3,1,4,1,3,2,3,Harper,Mitchell,1,87,2,01/09/2017,1,Larissa,12
1,1,1,4,5,1,4,1,Tatum,Mullins,0,60,1,01/01/2017,1,Venus,1
3,1,1,4,1,4,4,2,Richard,Mcknight,1,12,2,01/19/2017,1,Austin,11
3,1,3,3,1,1,3,5,Constance,Hammond,1,72,1,11/18/2016,2,Shaeleigh,8
2,1,3,5,4,4,5,4,Jessica,Jefferson,1,34,1,11/01/2016,2,Blaze,11
3,3,3,2,2,3,4,2,Keane,Clark,0,84,2,10/03/2016,2,Jakeem,9
1,2,1,1,5,3,4,2,Camille,Kennedy,0,96,1,02/03/2017,2,Amity,10
2,1,1,4,2,4,3,4,Zoe,Moss,1,8,1,03/09/2017,2,Harriet,15
1,1,1,5,4,3,2,2,Jolene,Obrien,0,87,1,01/23/2017,1,Chastity,18
3,2,1,1,2,3,2,5,Guy,Moss,0,72,1,02/20/2017,1,Leo,6
3,2,2,3,1,3,1,5,Anthony,Avila,0,76,1,05/07/2016,2,Hoyt,8
2,2,1,1,1,4,2,5,Linus,Sharp,0,13,2,07/01/2017,1,Shea,1
3,3,3,5,5,1,2,3,Jermaine,Stevens,0,92,2,03/01/2016,2,Orla,9
2,2,3,4,1,1,1,3,Nehru,Simmons,1,70,2,02/07/2017,1,Eliana,8
1,1,1,3,5,4,4,2,Dieter,Pacheco,1,33,1,10/27/2016,2,Regan,15
1,1,3,1,5,2,3,4,Fatima,Spence,1,36,2,12/25/2015,1,Aiko,1
3,3,3,4,2,4,3,4,Claudia,Davis,1,77,1,09/05/2016,1,Lois,7
2,1,1,3,4,5,4,1,Jaime,Mckinney,0,52,1,02/20/2016,2,Lani,17
3,1,1,2,2,2,5,5,Rhona,Mcdowell,0,22,2,01/22/2017,1,Gretchen,12
1,1,1,4,5,5,4,2,Hiram,David,1,41,1,04/27/2017,1,Quinlan,6
2,3,1,5,4,3,3,3,Ivy,Gutierrez,1,11,2,04/19/2016,2,Kylee,18
2,1,1,3,1,1,5,1,Ivory,Burgess,1,51,2,03/27/2017,1,Kieran,14
1,1,3,2,4,2,5,1,Eugenia,Cantu,0,69,1,11/29/2016,1,Gillian,4
1,1,3,2,4,5,1,2,Emerald,Bass,0,91,2,11/23/2016,2,Blake,10
1,2,2,4,3,2,1,4,Karyn,Avery,1,10,2,05/24/2017,2,Dolan,6
3,3,1,1,5,5,4,5,Jena,George,0,1,1,05/20/2017,2,Rachel,4
3,3,2,2,2,3,2,1,Zeph,Mitchell,0,92,2,06/16/2016,1,Nevada,9
3,2,3,2,1,4,4,5,Bree,Henry,1,31,2,02/28/2017,1,Xandra,6
3,2,1,4,3,4,4,1,Sonia,Ramos,0,6,2,09/07/2017,1,Knox,15
1,2,1,3,2,4,4,4,Paloma,Lucas,0,31,2,06/04/2016,2,Geoffrey,12
1,2,2,1,1,4,1,3,Jamal,Holland,1,66,1,06/05/2017,1,Celeste,1
3,2,1,5,4,4,5,1,Jaden,Kane,1,57,1,05/15/2016,1,Zahir,14
2,1,3,2,2,5,4,1,Hedwig,Alford,1,90,2,08/03/2017,1,Kelsey,10
3,1,2,1,4,5,2,5,Brady,Jordan,1,35,1,03/08/2016,2,Rhona,5
2,1,3,3,4,3,4,5,Hop,Horne,1,64,2,09/13/2016,1,Rhiannon,14
1,2,2,3,3,3,4,4,Alisa,Walton,0,64,2,06/22/2016,2,Colin,7
1,2,3,1,4,4,1,1,Whilemina,Ingram,0,76,2,03/04/2017,1,Hanna,8
2,2,1,1,1,2,5,5,Lacota,Herrera,0,93,1,12/15/2016,1,Louis,18
2,2,2,5,1,1,1,4,Clementine,Meyer,0,82,1,11/19/2016,1,Macon,2
1,3,3,2,2,2,5,3,Madeson,Frederick,0,5,1,11/09/2016,2,Cecilia,18
2,2,2,4,1,1,3,5,Amena,Valdez,0,4,1,11/17/2015,2,Neil,6
2,1,3,3,1,4,2,4,Ryder,Farley,0,76,1,03/10/2016,1,Cassidy,18
2,3,1,3,4,1,1,3,Silas,Thomas,0,3,2,07/19/2017,1,Yoshio,1
1,2,2,2,1,2,4,1,Rhiannon,Roth,1,56,2,08/22/2016,2,Zahir,3
1,1,2,4,4,1,5,3,Joshua,Banks,0,79,2,03/17/2017,2,Lila,1
2,2,2,4,3,2,2,3,Naida,Knapp,0,73,2,06/01/2016,1,Keith,1
2,1,1,5,5,4,4,1,Eagan,Stein,1,96,2,03/22/2017,2,Hayley,5
2,1,2,3,5,1,5,3,Fitzgerald,Campos,1,12,1,12/02/2015,1,Tanya,13
2,2,2,2,4,3,2,2,Julian,Mclaughlin,0,18,2,02/03/2016,1,Phyllis,12
3,1,2,2,5,3,4,1,Francis,Riley,1,71,2,02/23/2017,1,Imelda,2
3,3,2,5,3,4,4,3,Wyatt,Vaughn,1,70,2,09/11/2016,2,Hedwig,16
2,2,2,5,5,2,5,4,Allistair,Armstrong,1,34,2,03/16/2017,1,Alexandra,14
2,3,2,3,3,1,3,4,Rae,England,1,95,2,03/04/2017,1,Stephen,2
2,3,3,4,2,1,4,2,Karyn,Barber,1,65,2,04/11/2016,2,Carolyn,13
