preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
1,3,1,1,1,2,5,3,Casey,Wallace,1,59,1,12/05/2015,2,Beau,14
1,3,3,2,1,1,1,5,Glenna,Dennis,1,14,1,03/25/2016,2,Raphael,8
2,1,1,2,2,5,1,1,Nathan,Dickson,1,28,1,05/07/2016,1,Shad,9
1,1,3,3,3,5,1,4,Cullen,Fitzpatrick,1,55,1,12/30/2015,2,Victor,5
3,2,3,4,5,4,1,3,Kareem,Marquez,0,66,2,12/25/2015,2,Scarlett,11
3,1,2,4,4,1,2,2,Kasper,Zamora,1,68,1,09/11/2015,1,Rachel,9
2,1,3,2,2,3,1,4,Quinn,Gregory,0,16,1,02/10/2016,2,Maite,7
3,2,3,4,4,3,1,4,Herrod,Wiggins,1,27,1,05/07/2016,1,Adena,18
1,3,2,5,2,5,2,2,Hamish,Peterson,1,29,2,05/22/2017,2,Anjolie,4
3,3,2,1,4,3,5,5,Tara,Humphrey,1,43,1,01/22/2017,2,Arden,14
2,2,3,1,1,1,2,2,Whitney,Gross,0,87,1,11/25/2015,2,Karina,10
2,1,1,1,1,1,4,5,Beau,Moreno,0,88,1,01/20/2017,1,Tatyana,14
1,2,2,3,1,3,3,5,Yoshio,Moreno,1,92,1,05/21/2016,2,Todd,1
1,2,2,5,3,3,1,1,Hu,Pittman,0,42,2,06/09/2016,1,Noah,11
1,3,2,3,4,1,5,4,Tatum,White,0,97,1,07/03/2017,2,Regan,16
1,1,1,3,2,2,5,5,Cassidy,Mullen,0,57,2,11/09/2016,1,Amos,5
2,3,3,5,3,5,2,1,Cynthia,Albert,1,20,1,10/30/2015,1,Lee,5
1,3,2,2,4,4,4,5,Nigel,Savage,1,28,1,11/14/2016,2,Denton,16
2,1,1,3,3,4,4,2,Tasha,Wyatt,0,93,2,06/23/2016,1,Evan,3
2,2,2,4,1,1,1,2,Quincy,Murphy,0,51,1,09/14/2016,1,Oscar,17
3,1,3,2,3,4,1,3,Ayanna,Mcbride,1,25,1,08/02/2017,1,James,13
1,1,1,4,2,4,5,3,Colorado,Shepherd,1,45,2,04/19/2017,1,Kylan,15
1,3,3,1,2,2,1,4,Whitney,Klein,1,75,2,07/12/2016,2,Regina,15
3,2,2,1,4,2,5,4,Selma,Snider,0,34,2,03/11/2017,2,Velma,2
1,3,1,5,2,3,3,4,Harrison,Cruz,0,17,1,07/27/2016,1,Brittany,14
2,1,3,1,2,3,5,1,Mark,Estrada,1,39,2,02/14/2016,2,Ignacia,11
1,3,2,1,4,4,5,1,Mary,Nash,1,22,1,02/21/2016,2,Mariam,5
1,2,3,3,4,2,1,3,Flynn,Vega,0,22,1,11/18/2016,2,Kylie,5
2,3,1,2,4,2,2,5,Brendan,Wolf,0,2,1,07/30/2017,2,Simon,15
2,2,3,5,2,5,3,2,Haley,Burris,1,87,2,06/28/2017,1,Nell,17
1,3,1,4,3,5,3,2,Clementine,Conner,0,36,1,09/08/2016,1,Yetta,7
1,3,3,5,2,3,4,1,Isaiah,Lester,1,33,1,06/09/2016,2,Fleur,12
2,2,1,1,3,5,1,5,Abbot,Smith,0,96,2,05/16/2016,2,Lynn,9
2,2,1,5,5,4,2,3,Urielle,Cash,1,61,1,03/23/2017,2,Stacey,6
2,1,2,1,5,1,2,1,Ella,Beach,1,66,2,01/13/2016,2,Clarke,5
1,2,1,3,1,5,5,5,Rhona,Mcclain,1,57,1,04/27/2016,1,Miriam,4
2,3,2,5,4,1,5,1,Jael,Weaver,1,42,1,05/06/2017,2,Doris,3
2,3,3,1,5,3,5,3,Vanna,Woodard,1,46,1,03/24/2016,2,Quinn,7
1,1,1,5,3,2,3,2,Deirdre,Cummings,0,74,2,10/12/2016,1,Barry,11
3,2,2,4,2,1,2,1,Carissa,Benton,0,34,1,03/07/2017,1,Mariam,3
3,2,1,4,5,4,1,1,Grady,Chavez,1,65,1,11/20/2016,1,Gannon,13
3,1,3,3,2,5,2,1,Bertha,Watkins,1,100,2,08/04/2017,2,Hillary,9
2,3,3,4,1,4,4,5,Chester,Cohen,1,80,2,05/28/2016,2,Jillian,12
1,2,1,3,2,2,4,5,Kibo,Morrow,0,44,2,06/04/2016,2,Seth,9
3,2,2,3,5,1,5,1,Phyllis,Prince,0,65,2,07/28/2017,2,Yolanda,18
