preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
1,1,3,4,5,4,5,3,Josephine,Haynes,1,72,1,08/25/2016,1,Roanna,3
3,3,2,3,4,4,2,3,Wendy,Bird,0,22,1,01/04/2016,2,Lisandra,5
2,1,3,4,2,1,2,1,Ferris,Morton,1,33,2,01/16/2017,1,Keane,16
1,1,1,1,4,3,3,3,Karina,Crosby,0,38,2,12/30/2016,2,Zachery,13
3,1,3,1,2,5,4,2,Trevor,Lindsay,0,77,2,06/12/2017,2,Acton,14
2,3,2,4,1,3,5,4,Mechelle,Albert,0,44,2,06/18/2016,2,Belle,17
1,1,2,5,3,5,2,4,Wanda,Mayo,0,55,2,10/02/2015,1,Caldwell,4
1,2,2,3,1,3,4,2,Zephr,Haley,0,20,1,02/04/2017,1,Jane,10
3,2,3,5,1,2,3,3,Liberty,Humphrey,1,68,2,08/05/2017,1,Clio,10
3,1,2,3,3,5,3,1,Zenia,Hinton,0,9,1,06/20/2016,2,Miranda,2
3,1,1,5,4,4,5,4,Jerry,Flowers,0,34,2,09/29/2016,2,Walker,5
1,1,1,2,2,1,1,3,Teagan,House,1,31,2,02/10/2017,1,Tatyana,1
3,2,1,2,5,1,4,2,Kareem,Mcmahon,1,71,2,02/19/2017,2,Amber,13
3,3,1,1,4,5,4,4,Fleur,Dunlap,0,46,2,01/02/2016,1,Winifred,7
1,3,1,2,3,2,2,5,Thomas,May,1,28,2,03/01/2016,1,Donna,1
2,1,2,5,3,3,5,1,Aurora,Gross,1,85,1,08/25/2017,1,Conan,6
1,1,3,2,4,3,1,1,Thane,Christian,1,34,2,11/11/2015,1,Tamara,17
3,2,3,3,1,2,4,5,Robert,Potts,1,25,2,02/19/2017,2,Tatum,17
3,1,1,4,4,2,5,3,Shelly,Wise,0,21,1,12/23/2016,2,Florence,17
1,3,3,2,2,4,5,2,Joel,Peck,1,37,2,10/20/2015,1,Aubrey,17
2,1,1,5,3,2,1,1,Mariam,Parks,1,61,2,01/14/2017,2,Myles,4
2,2,2,1,1,5,3,4,Cairo,Atkinson,0,14,1,02/12/2017,1,Jacqueline,18
