preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
2,1,1,5,2,1,4,4,Ross,Acevedo,1,86,2,08/02/2017,2,Wynne,13
1,2,2,1,2,5,5,4,Germane,Mcmahon,1,13,1,03/09/2017,1,Ainsley,7
3,1,3,4,4,1,4,4,Irma,Delacruz,1,99,2,01/02/2017,2,Robin,13
1,2,1,1,1,4,3,3,Jakeem,Fitzpatrick,0,64,2,12/01/2016,2,Acton,12
1,3,3,4,1,5,2,3,Hyacinth,Jones,0,12,2,01/19/2016,1,Robin,3
1,2,2,5,3,1,3,1,Serina,Donovan,0,62,1,03/17/2017,1,MacKenzie,11
3,2,2,3,1,2,4,3,Rae,Vaughan,1,27,1,09/01/2017,2,Xavier,12
1,1,2,3,5,5,3,4,Carlos,Gates,0,87,1,06/10/2016,1,Connor,18
2,1,3,1,4,3,2,5,Rigel,Howe,1,35,1,08/04/2017,1,Hilary,14
3,3,2,5,2,5,2,4,Evelyn,Foley,0,70,1,06/05/2017,2,Vivian,5
1,1,3,1,5,4,3,4,Tatyana,Glover,1,42,2,10/15/2016,1,Blythe,7
2,1,2,2,1,1,3,3,Blaze,Tyson,0,56,1,07/16/2016,1,Baxter,7
1,2,2,2,1,3,1,5,Quinn,Strong,1,9,2,06/29/2017,1,Charlotte,17
1,1,3,3,2,2,5,1,Charles,Holt,1,67,2,01/04/2017,1,Colette,5
2,2,2,4,5,2,5,5,Leila,Goff,0,70,1,01/17/2016,2,Desirae,3
3,3,1,5,4,1,5,3,Darrel,Juarez,1,50,1,03/31/2016,1,Wylie,9
1,1,1,3,3,1,5,4,Hanna,Myers,0,34,1,02/24/2017,1,Kelsie,18
2,1,1,3,2,5,5,5,Vincent,Colon,0,85,2,06/07/2016,2,Raya,5
1,3,1,3,2,3,3,1,Carolyn,Page,0,58,2,05/31/2016,2,Florence,3
3,1,1,3,5,4,1,2,Amelia,Ingram,0,52,2,03/05/2017,2,Illiana,12
1,3,2,5,5,5,3,1,Yolanda,Downs,0,17,1,06/13/2016,2,Dora,2
3,1,2,2,2,4,2,1,Jamal,Hyde,1,52,1,11/18/2015,1,Jacqueline,11
1,3,3,1,5,5,2,2,Lamar,Hester,1,58,1,04/18/2017,1,Jakeem,6
1,3,1,2,1,5,2,2,Ira,Carter,0,89,2,10/05/2016,2,Abbot,11
1,2,3,3,1,2,4,2,Blossom,Bullock,1,21,2,02/17/2016,2,Willow,4
1,2,3,5,2,5,3,4,Hiram,Arnold,1,99,2,09/10/2017,1,Angelica,12
3,3,2,5,1,1,5,3,Michelle,Nicholson,1,73,1,04/15/2016,1,Belle,17
1,3,2,5,5,1,4,5,Ginger,Cain,1,56,2,10/21/2016,2,Harper,10
3,1,2,2,5,3,1,5,Donna,Mcdonald,1,25,1,01/05/2017,1,Benedict,18
2,1,2,3,2,2,1,3,Xavier,Mcpherson,1,12,2,08/03/2016,2,Priscilla,10
2,1,3,2,4,3,4,4,Hayfa,Valenzuela,1,86,2,08/09/2016,1,Murphy,5
1,1,1,1,1,1,4,2,Basia,Cole,1,24,1,04/08/2016,2,Daria,17
3,2,1,5,3,4,3,5,Len,Campbell,0,68,2,05/27/2016,2,Anika,18
3,1,1,2,4,3,2,3,Cecilia,Walton,0,75,2,08/02/2017,1,Buckminster,10
1,2,1,2,2,4,4,2,Dora,Wolfe,1,100,2,06/16/2017,2,Kaseem,12
2,2,3,5,2,5,3,3,Allen,Short,1,55,2,05/12/2017,1,Xenos,3
3,3,3,5,5,1,2,4,Sage,Waters,1,61,1,03/24/2017,1,Aquila,7
2,2,1,2,3,3,2,1,Russell,Mccarthy,0,22,2,05/21/2016,2,Baxter,12
3,3,2,2,3,2,3,1,Joshua,Dillard,1,72,1,11/26/2015,2,Raphael,8
3,3,1,5,3,3,2,4,Sydnee,Stout,0,100,1,02/12/2017,1,Aline,9
1,3,3,4,2,3,3,4,Ira,Bullock,0,66,2,06/27/2017,1,Victoria,14
3,3,2,2,3,4,1,3,Tiger,Villarreal,1,47,2,12/07/2015,2,TaShya,10
2,1,3,5,2,1,4,2,Hayes,Hays,1,86,1,07/31/2016,1,Addison,10
1,1,1,5,2,2,3,5,Halee,Bailey,1,35,2,11/11/2015,2,Jacqueline,14
3,3,1,5,5,5,2,5,Ahmed,Trujillo,1,55,2,11/26/2015,1,Cathleen,14
2,1,2,2,1,1,1,2,Dana,Malone,1,53,2,07/30/2017,2,Gil,13
2,3,1,1,3,5,4,4,Jenette,Stone,1,6,1,12/13/2015,1,Shaine,5
2,1,3,2,2,3,3,2,Octavius,Collier,1,78,2,03/01/2016,2,Vielka,9
